"CONVERSATION ID","CONVERSATION TITLE","FROM","SENDER PROFILE URL","TO","RECIPIENT PROFILE URLS","DATE","SUBJECT","CONTENT","FOLDER"
"2-N2QwNWQ0OTUtMDViNC00MjYzLWI5NTAtMjFkMjI4NGM3NDJmXzEwMA==","Sponsored Conversation","LinkedIn Member","","David Alejandro Fuquen Flórez","https://www.linkedin.com/in/david-fuquen","2026-03-09 01:15:37 UTC","","<p class=""spinmail-quill-editor__spin-break"">Hola, %FIRSTNAME%:</p><p class=""spinmail-quill-editor__spin-break""><br></p><p class=""spinmail-quill-editor__spin-break"">Nos gustaría ofrecerte un mes de prueba gratis de Premium para ayudarte a optimizar tu perfil, ampliar tu red y adquirir nuevas aptitudes.</p>","INBOX"
"2-ZTkyOWI4OTgtYWU4Ny00Y2UwLWIzYzEtYTMxNzAwYzVmMzI4XzEwMA==","Sponsored Conversation","LinkedIn Member","","David Alejandro Fuquen Flórez","https://www.linkedin.com/in/david-fuquen","2026-03-03 16:53:55 UTC","","<p class=""spinmail-quill-editor__spin-break"">👋 ¡Hola! Soy Caria de MBS School of Business en Francia.</p><p class=""spinmail-quill-editor__spin-break""><br></p><p class=""spinmail-quill-editor__spin-break"">¿Estás pensando en cursar un máster? Nuestras maestrías especializadas (MSc), reconocidas por el Estado, te ayudarán a desarrollar las habilidades más solicitadas en Inteligencia Artificial, Estrategia y Negocios, Gestión de Proyectos, Marketing y Finanzas.</p><p class=""spinmail-quill-editor__spin-break""><br></p><p class=""spinmail-quill-editor__spin-break"">Diseñadas junto a expertos del sector, combinan aprendizaje práctico y excelencia académica, abriéndote las puertas a una carrera internacional, con un 89 % de inserción laboral en los seis meses posteriores a la graduación.</p><p class=""spinmail-quill-editor__spin-break"">Además, puedes acceder a becas de hasta 2.000 €.</p><p class=""spinmail-quill-editor__spin-break""><br></p><p class=""spinmail-quill-editor__spin-break"">¿Te gustaría descubrir cuál es la maestría (MSc) ideal para ti?</p>","INBOX"
"2-MTAzMmYwMTktMTgwMy00ZjkwLWE2ZjQtOWIzZGY0ZTBlYzhiXzEwMA==","","Yeison Alexander Suarez Beltran","https://www.linkedin.com/in/yeison-alexander-suarez-beltran-631027193","David Alejandro Fuquen Flórez","https://www.linkedin.com/in/david-fuquen","2026-01-27 21:30:42 UTC","","Hola, ¿cómo estás?
Te escribo con todo respeto 🙏

Desde Camelot Educación (www.camelot.com.co
) estamos abriendo un Diplomado completo en Inteligencia Artificial, 100% práctico y en vivo, diseñado para profesionales de cualquier área (no se requiere saber programar).

El diplomado no es teórico ni genérico: trabajamos uso real de IA aplicada a productividad, trabajo profesional, docencia e investigación, además de automatización, creación de chatbots y fundamentos de programación en IA, todo acompañado paso a paso.

Cuenta con certificación oficial válida ante el Ministerio de Educación Nacional, útil para concursos, escalafón y fortalecimiento del perfil profesional.

📌 Duración máxima: 4 meses
📌 Modalidad: Clases en vivo (sincrónicas)
📌 Inversión total: $500.000 COP (pago único por todo el diplomado)

Es un valor muy accesible para el alcance del programa, ya que hace parte de una propuesta formativa con enfoque social: por cada inscripción se destinan $50.000 a ayudas benéficas, lo que nos permite mantener un costo justo sin sacrificar calidad académica.

Actualmente estamos cerrando los últimos cupos.
Quería saber si es un tema que te interesa o si prefieres que lo conversemos con más calma. Con gusto te amplío toda la información 🌱","INBOX"
"2-MjkwYjNkNWYtMDIyZi00YjM0LWJjZWUtNzc3NzU0NWU3ZGEzXzEwMA==","","Juan Esteban Cuellar Argotty","https://www.linkedin.com/in/juan-esteban-cuellar-argotty-693308255","David Alejandro Fuquen Flórez","https://www.linkedin.com/in/david-fuquen","2025-10-27 23:24:45 UTC","","Me prestas cargador por fiii ","INBOX"
"2-MjkwYjNkNWYtMDIyZi00YjM0LWJjZWUtNzc3NzU0NWU3ZGEzXzEwMA==","","Juan Esteban Cuellar Argotty","https://www.linkedin.com/in/juan-esteban-cuellar-argotty-693308255","David Alejandro Fuquen Flórez","https://www.linkedin.com/in/david-fuquen","2025-10-27 23:24:28 UTC","","Jajaja hola","INBOX"
"2-YjllNjgwZGQtYjkwMS00YTk2LWEyZTgtNGMyMzVlMjQwMTY0XzEwMA==","","Abdullah Saeed 🍉","https://www.linkedin.com/in/am-i-abdullah","David Alejandro Fuquen Flórez","https://www.linkedin.com/in/david-fuquen","2025-10-25 04:55:26 UTC","","Hey,

Hope you're doing great! Abdullah here, experienced flutter developer & currently building Linkedin.com/company/egnitify (do follow please).

It's a pleasure connecting with you, would love to stay in touch, know more about you and learn from each other's journey.

Looking forward!
Abdullah","INBOX"
"2-YzgxNDBjODEtZjJkMS00ODExLThjNTEtZjEzMmI4YmVmMjliXzEwMA==","","Ganesh Rayavarapu","https://www.linkedin.com/in/ganesh-rayavarapu","David Alejandro Fuquen Flórez","https://www.linkedin.com/in/david-fuquen","2025-10-13 02:36:48 UTC","","Hey David,

Thanks for this. Yes, we can meet to discuss these changes. I guess we can discuss them on Tuesday since that’s when youre available. ","INBOX"
"2-YzgxNDBjODEtZjJkMS00ODExLThjNTEtZjEzMmI4YmVmMjliXzEwMA==","","David Alejandro Fuquen Flórez","https://www.linkedin.com/in/david-fuquen","Ganesh Rayavarapu","https://www.linkedin.com/in/ganesh-rayavarapu","2025-10-12 21:18:02 UTC","","I see you sent the message today... so if you wanna hop in a call sometime this afternoon, please let me know ;)","INBOX"
"2-YzgxNDBjODEtZjJkMS00ODExLThjNTEtZjEzMmI4YmVmMjliXzEwMA==","","David Alejandro Fuquen Flórez","https://www.linkedin.com/in/david-fuquen","Ganesh Rayavarapu","https://www.linkedin.com/in/ganesh-rayavarapu","2025-10-12 21:17:26 UTC","","Hey Ganesh!!

How are you? I was about to answer your email hahaha.

- For sure, the protocol is ready to be adapted. However, I'd need to have some more specifications so that we are in the same page. 

- Same thing, it can be done. We would have to discuss the changes in the design. 

Having said that, I feel like I'd be worth it to have a zoom call to go over this details.","INBOX"
"2-YzgxNDBjODEtZjJkMS00ODExLThjNTEtZjEzMmI4YmVmMjliXzEwMA==","","Ganesh Rayavarapu","https://www.linkedin.com/in/ganesh-rayavarapu","David Alejandro Fuquen Flórez","https://www.linkedin.com/in/david-fuquen","2025-10-12 19:07:28 UTC","Changes to add to ISS-mini-mimic GUI","Hello David, 

It's Ganesh, the swe lead for iss mini mimic. Hope you are having a good break. Just wanted to know if you can add some changes to the current GUI. 

- Increase the capacity of the robot packets to allow space to send data for 8 Beta Gimbal Assembly angles and 2 Solar Alpha Rotary Joints to the XRP 
- Update the GUI to allow user to set any of the 8 BGA angles or 2 Solar Alpha Rotary Joints. Could be wrong, but right now I see that I can only set one angle on the GUI. 

Let me know if these changes sound good to include or if you have any questions. 

Thx, 
Ganesh","INBOX"
